stop_id,stop_name,led_id
70061,Alewife,67
70083,Andrew,0
70084,Andrew,0
70093,Ashmont,0
70094,Ashmont,0
70081,Broadway,0
70082,Broadway,0
70105,Braintree,0
70073,Charles/MGH,95
70074,Charles/MGH,95
70069,Central,71
70070,Central,71
70063,Davis,68
70064,Davis,68
70077,Downtown Crossing,94
70078,Downtown Crossing,94
70089,Fields Corner,0
70090,Fields Corner,0
70067,Harvard,70
70068,Harvard,70
70085,JFK/UMass,0
70086,JFK/UMass,0
70095,JFK/UMass,0
70096,JFK/UMass,0
70071,Kendall/MIT,72
70072,Kendall/MIT,72
70097,North Quincy,0
70098,North Quincy,0
70075,Park Street,93
70076,Park Street,93
70065,Porter,69
70066,Porter,69
70103,Quincy Adams,0
70104,Quincy Adams,0
70101,Quincy Center,0
70102,Quincy Center,0
70087,Savin Hill,0
70088,Savin Hill,0
70091,Shawmut,0
70092,Shawmut,0
70079,South Station,116
70080,South Station,116
70099,Wollaston,0
70100,Wollaston,0
70278,Assembly,84
70279,Assembly,84
70014,Back Bay,7
70015,Back Bay,7
70028,Community College,97
70029,Community College,97
70018,Chinatown,0
70019,Chinatown,0
70020,Downtown Crossing,0
70021,Downtown Crossing,0
70001,Forest Hills,0
70002,Green Street,1
70003,Green Street,1
70024,Haymarket,87
70025,Haymarket,87
70006,Jackson Square,3
70007,Jackson Square,3
70012,Massachusetts Avenue,6
70013,Massachusetts Avenue,6
70034,Malden Center,82
70035,Malden Center,82
70026,North Station,85
70027,North Station,85
70036,Oak Grove,81
70008,Roxbury Crossing,4
70009,Roxbury Crossing,4
70010,Ruggles,5
70011,Ruggles,5
70004,Stony Brook,2
70005,Stony Brook,2
70022,State,90
70023,State,90
70030,Sullivan Square,96
70031,Sullivan Square,96
70016,Tufts Medical Center,0
70017,Tufts Medical Center,0
70032,Wellington,83
70033,Wellington,83
70261,Ashmont,0
70265,Butler,0
70266,Butler,0
70273,Capen Street,0
70274,Capen Street,0
70263,Cedar Grove,0
70264,Cedar Grove,0
70269,Central Avenue,0
70270,Central Avenue,0
70275,Mattapan,0
70276,Mattapan,0
70267,Milton,0
70268,Milton,0
70271,Valley Road,0
70272,Valley Road,0
70126,Allston Street,52
70127,Allston Street,52
170140,Amory Street,57
170141,Amory Street,57
70156,Arlington,64
70157,Arlington,64
170136,Babcock Street,56
170137,Babcock Street,56
70509,Ball Square,74
70510,Ball Square,74
70148,Blandford Street,60
70149,Blandford Street,60
70158,Boylston,65
70159,Boylston,65
70134,Packard's Corner,55
70135,Packard's Corner,55
70144,Boston University Central,58
70145,Boston University Central,58
70146,Boston University East,59
70147,Boston University East,59
70112,Chestnut Hill Avenue,47
70113,Chestnut Hill Avenue,47
70114,Chiswick Road,48
70115,Chiswick Road,48
70154,Copley,63
70155,Copley,63
70513,East Somerville,77
70514,East Somerville,77
70505,Gilman Square,76
70506,Gilman Square,76
70201,Government Center,0
70202,Government Center,0
70128,Griggs Street,53
70129,Griggs Street,53
70203,Haymarket,88
70204,Haymarket,88
70130,Harvard Avenue,54
70131,Harvard Avenue,54
70152,Hynes Convention Center,62
70153,Hynes Convention Center,62
71150,Kenmore,61
71151,Kenmore,61
70106,Boston College,45
70107,Boston College,45
70501,Lechmere,79
70502,Lechmere,79
70511,Medford/Tufts,73
70512,Medford/Tufts,73
70507,Magoun Square,75
70508,Magoun Square,75
70205,North Station,86
70206,North Station,86
70196,Park Street,0
70200,Park Street,0
70110,South Street,46
70111,South Street,46
70207,Science Park/West End,80
70208,Science Park/West End,80
70116,Sutherland Road,49
70117,Sutherland Road,49
70120,Washington Street,50
70121,Washington Street,50
70124,Warren Street,51
70125,Warren Street,51
70156,Arlington,64
70157,Arlington,64
70509,Ball Square,74
70510,Ball Square,74
70229,Washington Square,36
70230,Washington Square,36
70225,Brandon Hall,38
70226,Brandon Hall,38
70158,Boylston,65
70159,Boylston,65
70237,Cleveland Circle,32
70238,Cleveland Circle,32
70154,Copley,63
70155,Copley,63
70219,Coolidge Corner,40
70220,Coolidge Corner,40
70233,Dean Road,34
70234,Dean Road,34
70235,Englewood Avenue,33
70236,Englewood Avenue,33
